"gene_name","overlap_class","T_gene_id","U_gene_id","T_n_switching","U_n_switching","T_max_abs_dif","U_max_abs_dif","delta_max_abs_dif","T_min_q","U_min_q","T_novel_involved","U_novel_involved","T_opposing","U_opposing","T_rank","U_rank"
"DMAP1","T-only","XLOC_000707",,1,,0.1528,,,0.0104236252790435,,TRUE,,FALSE,,186,
"ARFGAP3","T-only","XLOC_035738",,6,,0.151133333333333,,,1.9488589418288e-14,,TRUE,,TRUE,,68,
"ST3GAL6","T-only","XLOC_036535",,3,,0.1495,,,7.68225654939428e-05,,TRUE,,TRUE,,69,
"CD1D","T-only","XLOC_001715",,3,,0.1492,,,2.77577300933962e-19,,TRUE,,TRUE,,70,
"FBXL19","T-only","XLOC_019728",,2,,0.148433333333333,,,1.92255645501647e-16,,TRUE,,TRUE,,71,
"PLSCR1","T-only","XLOC_038441",,5,,0.1483,,,3.88290061077938e-07,,TRUE,,TRUE,,72,
"GAR1","T-only","XLOC_039716",,1,,0.148,,,0.00206093944169202,,FALSE,,FALSE,,187,
"CRYBB2P1","T-only","XLOC_034887",,1,,0.147966666666667,,,0.000123551276024344,,TRUE,,FALSE,,188,
"TRANK1","T-only","XLOC_037599",,2,,0.147333333333333,,,1.34175915510827e-09,,TRUE,,TRUE,,73,
"PPP2R3C","T-only","XLOC_016311",,1,,0.147266666666667,,,0.0400227860655008,,TRUE,,FALSE,,190,
"RAB30-DT","T-only","XLOC_008654",,1,,0.146966666666667,,,0.013046454172065,,FALSE,,FALSE,,191,
"H2BC5","T-only","XLOC_044695",,1,,0.146133333333333,,,0.0451076835732737,,TRUE,,FALSE,,192,
"ACSS2","T-only","XLOC_032639",,2,,0.145833333333333,,,0.00106472957798689,,TRUE,,TRUE,,75,
"ZBTB46","T-only","XLOC_033704",,1,,0.145633333333333,,,0.0342591804385584,,FALSE,,FALSE,,193,
"CTNNBIP1","T-only","XLOC_002864",,2,,0.145466666666667,,,0.0024240197517107,,FALSE,,TRUE,,76,
"ZNF79","T-only","XLOC_053604",,1,,0.145166666666667,,,0.0192266867431366,,FALSE,,FALSE,,194,
"RUBCNL","T-only","XLOC_014600",,2,,0.1447,,,1.71179622571665e-05,,TRUE,,TRUE,,77,
"TOMM34","T-only","XLOC_033473",,2,,0.144666666666667,,,0.00780956928227686,,TRUE,,TRUE,,78,
"CCRL2","T-only","XLOC_036184",,1,,0.144533333333333,,,2.28139712763848e-06,,FALSE,,FALSE,,195,
"USP36","T-only","XLOC_024291",,1,,0.143533333333333,,,2.22555003085575e-05,,TRUE,,FALSE,,196,
"SESN1","T-only","XLOC_046945",,3,,0.1395,,,4.15480830751356e-10,,TRUE,,TRUE,,79,
"TOX4","T-only","XLOC_015098",,2,,0.138966666666667,,,0.000127258365957919,,TRUE,,TRUE,,80,
"MFNG","T-only","XLOC_035638",,1,,0.1388,,,0.0198219635429081,,TRUE,,FALSE,,199,
"DOCK7","T-only","XLOC_003547",,1,,0.1382,,,0.0241763709553195,,TRUE,,FALSE,,200,
"RMI2","T-only","XLOC_019446",,1,,0.136933333333333,,,0.00126778504493296,,FALSE,,FALSE,,201,
"ADAMTSL4","T-only","XLOC_001524",,2,,0.1358,,,0.00232716627088813,,FALSE,,TRUE,,81,
"SIGLEC1","T-only","XLOC_033051",,1,,0.1351,,,1.45182767284446e-05,,FALSE,,FALSE,,202,
"RALA","T-only","XLOC_047745",,1,,0.133133333333333,,,0.0329041497947991,,TRUE,,FALSE,,203,
"MKLN1","T-only","XLOC_048531",,2,,0.132633333333333,,,0.00584877600785548,,TRUE,,FALSE,,204,
"EBF1","T-only","XLOC_044240",,1,,0.132133333333333,,,0.0022391819176482,,FALSE,,FALSE,,205,
"PLK2","T-only","XLOC_043436",,1,,0.130733333333333,,,0.000108593428644165,,FALSE,,FALSE,,206,
"CPNE3","T-only","XLOC_050989",,1,,0.130666666666667,,,5.01090094299034e-19,,FALSE,,FALSE,,207,
"BCL2L1","T-only","XLOC_033318",,4,,0.129333333333333,,,1.31301008256335e-06,,FALSE,,TRUE,,82,
"SENCR","T-only","XLOC_010662",,1,,0.129133333333333,,,0.04585615115123,,FALSE,,FALSE,,208,
"PFKFB4","T-only","XLOC_037736",,1,,0.1286,,,4.59849992265362e-06,,FALSE,,FALSE,,209,
"PIGH","T-only","XLOC_016586",,1,,0.127566666666667,,,0.00395256000906607,,TRUE,,FALSE,,210,
"ANOS1","T-only","XLOC_056195",,1,,0.1274,,,0.000635904744520582,,FALSE,,FALSE,,211,
"STIM2","T-only","XLOC_039155",,1,,0.1272,,,0.0476923208524766,,TRUE,,FALSE,,212,
"STOM","T-only","XLOC_054683",,1,,0.123966666666667,,,8.19231379536425e-16,,TRUE,,FALSE,,213,
"ZHX3","T-only","XLOC_033438",,1,,0.1237,,,4.16930894494288e-05,,FALSE,,FALSE,,214,
"ASB1","T-only","XLOC_030243",,1,,0.1235,,,0.00495470430030583,,TRUE,,FALSE,,215,
"TMEM87B","T-only","XLOC_029252",,1,,0.123333333333333,,,0.00354012229855197,,TRUE,,FALSE,,216,
"TPBG","T-only","XLOC_045311",,2,,0.1223,,,2.22053916583073e-14,,FALSE,,TRUE,,83,
"TMEM254","T-only","XLOC_005962",,1,,0.121433333333333,,,6.70985800104248e-07,,TRUE,,FALSE,,218,
"MRPS5","T-only","XLOC_031146",,1,,0.121366666666667,,,0.00843827408187243,,TRUE,,FALSE,,219,
"ATXN7L1","T-only","XLOC_049811",,1,,0.120633333333333,,,0.00602828071582492,,TRUE,,FALSE,,220,
"SMUG1","T-only","XLOC_012805",,3,,0.120466666666667,,,1.7279496951697e-12,,TRUE,,FALSE,,221,
"APOBEC3A","T-only","XLOC_035087",,1,,0.120433333333333,,,4.69657541380675e-19,,FALSE,,FALSE,,222,
"RBM45","T-only","XLOC_029729",,1,,0.1204,,,9.92250083141642e-08,,TRUE,,FALSE,,223,
"AKNA","T-only","XLOC_054645",,2,,0.120266666666667,,,1.09270434707927e-05,,FALSE,,TRUE,,84,
"BACH2","T-only","XLOC_046847",,1,,0.119733333333333,,,0.0315536049655297,,FALSE,,FALSE,,224,
